brand,category,categories,title,description,asin,model_number,upc,initial_price,final_price,buybox_price,number_of_sellers,specifications
Apple,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Apple iPhone 16","Mainstream flagship iPhone with balanced performance, camera upgrades, and efficiency improvements.","APPIP16001","A3080","890123450028",899.99,999.99,949.99,25,"[{""key"":""Display"",""value"":""6.1-inch OLED 60Hz""},{""key"":""Chip"",""value"":""Apple A18""},{""key"":""Storage"",""value"":""128GB""},{""key"":""Camera"",""value"":""48MP Dual Camera""}]"
Apple,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Apple iPhone 16 Pro","Pro-tier iPhone with advanced camera system and ProMotion display.","APPIP16002","A3091","890123450029",999.99,1099.99,1049.99,22,"[{""key"":""Display"",""value"":""6.3-inch OLED 120Hz ProMotion""},{""key"":""Chip"",""value"":""Apple A18 Pro""},{""key"":""Storage"",""value"":""256GB""},{""key"":""Camera"",""value"":""48MP Triple Camera""}]"
Samsung,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Midrange Phone""]","Samsung Galaxy A56 5G","Balanced midrange phone with strong battery life and AMOLED display.","SAMGA56001","SM-A566E","890123450030",429.99,479.99,459.99,14,"[{""key"":""Display"",""value"":""6.6-inch AMOLED 120Hz""},{""key"":""Chip"",""value"":""Exynos 1480""},{""key"":""Storage"",""value"":""128GB""},{""key"":""Camera"",""value"":""50MP Triple Camera""}]"
ASUS,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","ASUS TUF Gaming A15 FA507","Affordable gaming laptop with strong thermal design and RTX 4060 GPU.","ASUTUF507001","FA507NV-HN05","890123450031",1099.99,1249.99,1199.99,12,"[{""key"":""CPU"",""value"":""AMD Ryzen 7 7735HS""},{""key"":""GPU"",""value"":""NVIDIA RTX 4060 Laptop GPU""},{""key"":""RAM"",""value"":""16GB DDR5""},{""key"":""Storage"",""value"":""512GB SSD""}]"
Lenovo,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","Lenovo Legion Slim 5 16APH","Thin gaming laptop with strong Ryzen performance and RTX graphics.","LENLEGSL5002","82Y9001BUS","890123450032",1299.99,1449.99,1399.99,15,"[{""key"":""CPU"",""value"":""AMD Ryzen 7 7840HS""},{""key"":""GPU"",""value"":""NVIDIA RTX 4070 Laptop GPU""},{""key"":""RAM"",""value"":""32GB DDR5""},{""key"":""Storage"",""value"":""1TB SSD""}]"
Dell,Ultrabook,"[""Electronics"",""Computers"",""Laptops"",""Ultrabook""]","Dell XPS 13 Plus 9320","Ultra-premium compact ultrabook with edge-to-edge keyboard design.","DELLXPS13001","9320-AX12","890123450033",1399.99,1549.99,1499.99,10,"[{""key"":""CPU"",""value"":""Intel Core Ultra 7 155H""},{""key"":""GPU"",""value"":""Intel Arc Graphics""},{""key"":""RAM"",""value"":""16GB LPDDR5X""},{""key"":""Storage"",""value"":""512GB SSD""}]"
MSI,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","MSI Stealth 16 Studio A13V","Creator and gaming hybrid laptop with RTX 4070 graphics.","MSISTEALTH16001","A13VG-042US","890123450034",1699.99,1899.99,1799.99,13,"[{""key"":""CPU"",""value"":""Intel Core i7-13700H""},{""key"":""GPU"",""value"":""NVIDIA RTX 4070""},{""key"":""RAM"",""value"":""32GB DDR5""},{""key"":""Storage"",""value"":""1TB SSD""}]"
AMD,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","AMD Radeon RX 7800 XT","High-performance GPU for 1440p and entry 4K gaming.","AMDRX7800XT01","RX-7800XT","890123450035",499.99,579.99,549.99,20,"[{""key"":""VRAM"",""value"":""16GB GDDR6""},{""key"":""Stream Processors"",""value"":""3840""},{""key"":""Boost Clock"",""value"":""2430 MHz""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 4070 SUPER","Efficient high-end GPU for 1440p ultra gaming.","NVID4070S001","RTX4070S-12G","890123450036",599.99,679.99,649.99,18,"[{""key"":""VRAM"",""value"":""12GB GDDR6X""},{""key"":""CUDA Cores"",""value"":""7168""},{""key"":""Boost Clock"",""value"":""2475 MHz""}]"
Kingston,RAM,"[""Electronics"",""Components"",""Memory"",""RAM""]","Kingston Fury Beast 32GB DDR5 5600MHz","Reliable DDR5 memory kit for gaming and productivity builds.","KINFURY32001","KF556C36BBEK2-32","890123450037",109.99,129.99,119.99,26,"[{""key"":""Capacity"",""value"":""32GB (2x16GB)""},{""key"":""Speed"",""value"":""5600MHz""},{""key"":""Type"",""value"":""DDR5""},{""key"":""Latency"",""value"":""CL36""}]"
Apple,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Apple iPhone 15","Reliable flagship iPhone with strong performance and excellent camera system.","APPIP15001","A3090-15","890123450038",799.99,899.99,849.99,24,"[{""key"":""Display"",""value"":""6.1-inch OLED""},{""key"":""Chip"",""value"":""Apple A16 Bionic""},{""key"":""Storage"",""value"":""128GB""},{""key"":""Camera"",""value"":""48MP Dual Camera""}]"
Apple,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Apple iPhone 15 Pro Max","Large-display Pro iPhone with titanium build and advanced zoom camera.","APPIP15PM01","A3106","890123450039",1099.99,1199.99,1149.99,26,"[{""key"":""Display"",""value"":""6.7-inch OLED 120Hz""},{""key"":""Chip"",""value"":""Apple A17 Pro""},{""key"":""Storage"",""value"":""256GB""},{""key"":""Camera"",""value"":""48MP Triple Camera 5x Zoom""}]"
Samsung,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Samsung Galaxy S24 Ultra","Premium Android flagship with S-Pen and 200MP camera system.","SAMGS24001","SM-S928U","890123450040",1099.99,1199.99,1149.99,25,"[{""key"":""Display"",""value"":""6.8-inch AMOLED 120Hz""},{""key"":""Chip"",""value"":""Snapdragon 8 Gen 3""},{""key"":""Storage"",""value"":""256GB""},{""key"":""Camera"",""value"":""200MP Quad Camera""}]"
Samsung,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Midrange Phone""]","Samsung Galaxy A36 5G","Affordable 5G smartphone with balanced performance and AMOLED display.","SAMGA36001","SM-A366B","890123450041",329.99,379.99,359.99,12,"[{""key"":""Display"",""value"":""6.6-inch AMOLED""},{""key"":""Chip"",""value"":""Exynos 1380""},{""key"":""Storage"",""value"":""128GB""},{""key"":""Camera"",""value"":""50MP Triple Camera""}]"
ASUS,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","ASUS ROG Zephyrus G14 GA403","Compact gaming laptop with Ryzen AI performance and RTX graphics.","ASUG14GA40301","GA403UI-XS96","890123450042",1499.99,1649.99,1599.99,14,"[{""key"":""CPU"",""value"":""AMD Ryzen 9 8945HS""},{""key"":""GPU"",""value"":""NVIDIA RTX 4070 Laptop GPU""},{""key"":""RAM"",""value"":""32GB DDR5""},{""key"":""Storage"",""value"":""1TB SSD""}]"
Lenovo,Business Laptop,"[""Electronics"",""Computers"",""Laptops"",""Business Laptop""]","Lenovo ThinkPad X1 Carbon Gen 12","Premium business ultrabook with durability and enterprise security.","LENX1C12001","21KC000BUS","890123450043",1599.99,1749.99,1699.99,11,"[{""key"":""CPU"",""value"":""Intel Core Ultra 7 165H""},{""key"":""GPU"",""value"":""Intel Arc Graphics""},{""key"":""RAM"",""value"":""32GB LPDDR5X""},{""key"":""Storage"",""value"":""1TB SSD""}]"
Dell,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","Dell Alienware m18 R2","Extreme performance gaming laptop with RTX 4090 and massive display.","DELM18R2001","M18R2-AX99","890123450044",2799.99,3099.99,2999.99,17,"[{""key"":""CPU"",""value"":""Intel Core i9-14900HX""},{""key"":""GPU"",""value"":""NVIDIA RTX 4090 Laptop GPU""},{""key"":""RAM"",""value"":""64GB DDR5""},{""key"":""Storage"",""value"":""2TB SSD""}]"
MSI,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","MSI Katana 15 B13V","Midrange gaming laptop with RTX 4060 for smooth 1080p performance.","MSIKAT15001","B13VGK-123","890123450045",999.99,1149.99,1099.99,13,"[{""key"":""CPU"",""value"":""Intel Core i7-13620H""},{""key"":""GPU"",""value"":""NVIDIA RTX 4060 Laptop GPU""},{""key"":""RAM"",""value"":""16GB DDR5""},{""key"":""Storage"",""value"":""512GB SSD""}]"
Crucial,SSD,"[""Electronics"",""Components"",""Storage"",""SSD""]","Crucial P5 Plus 1TB NVMe SSD","High-speed PCIe 4.0 SSD for gaming and system upgrades.","CRUP5P1001","CT1000P5PSSD8","890123450046",89.99,109.99,99.99,21,"[{""key"":""Capacity"",""value"":""1TB""},{""key"":""Interface"",""value"":""PCIe 4.0""},{""key"":""Read Speed"",""value"":""6600 MB/s""},{""key"":""Write Speed"",""value"":""5000 MB/s""}]"
Seagate,HDD,"[""Electronics"",""Components"",""Storage"",""HDD""]","Seagate Barracuda 4TB HDD","Reliable high-capacity hard drive for storage and backups.","SEABAR4TB01","ST4000DM004","890123450047",79.99,94.99,89.99,19,"[{""key"":""Capacity"",""value"":""4TB""},{""key"":""RPM"",""value"":""5400""},{""key"":""Cache"",""value"":""256MB""},{""key"":""Interface"",""value"":""SATA 6Gb/s""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 4060","Efficient midrange GPU designed for 1080p and entry-level 1440p gaming.","NVID4060001","RTX4060-8G","890123450048",299.99,349.99,329.99,25,"[{""key"":""VRAM"",""value"":""8GB GDDR6""},{""key"":""CUDA Cores"",""value"":""3072""},{""key"":""Boost Clock"",""value"":""2460 MHz""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 4070 Ti SUPER","High-performance GPU optimized for 1440p ultra and entry 4K gaming.","NVID4070TS01","RTX4070TIS-16G","890123450049",749.99,849.99,799.99,23,"[{""key"":""VRAM"",""value"":""16GB GDDR6X""},{""key"":""CUDA Cores"",""value"":""8448""},{""key"":""Boost Clock"",""value"":""2610 MHz""}]"
AMD,CPU,"[""Electronics"",""Components"",""Processors"",""CPU""]","AMD Ryzen 7 7800X3D","Top-tier gaming CPU with 3D V-Cache for maximum gaming performance.","AMDR7800X3D01","100-100000910WOF","890123450050",449.99,499.99,479.99,18,"[{""key"":""Cores"",""value"":""8""},{""key"":""Threads"",""value"":""16""},{""key"":""Boost Clock"",""value"":""5.0 GHz""},{""key"":""Cache"",""value"":""96MB 3D V-Cache""}]"
Intel,CPU,"[""Electronics"",""Components"",""Processors"",""CPU""]","Intel Core i7-14700K","High-performance desktop CPU for gaming and productivity workloads.","INTI71470001","BX8071514700K","890123450051",389.99,439.99,419.99,17,"[{""key"":""Cores"",""value"":""20 (8P+12E)""},{""key"":""Threads"",""value"":""28""},{""key"":""Base Clock"",""value"":""3.4 GHz""}]"
Corsair,RAM,"[""Electronics"",""Components"",""Memory"",""RAM""]","Corsair Vengeance RGB 32GB DDR5 6400MHz","High-speed RGB DDR5 memory for gaming PCs.","CORV32RGB001","CMH32GX5M2B6400C32","890123450052",139.99,169.99,159.99,24,"[{""key"":""Capacity"",""value"":""32GB (2x16GB)""},{""key"":""Speed"",""value"":""6400MHz""},{""key"":""Type"",""value"":""DDR5""},{""key"":""Latency"",""value"":""CL32""}]"
Kingston,RAM,"[""Electronics"",""Components"",""Memory"",""RAM""]","Kingston Fury Beast 64GB DDR5 6000MHz","High-capacity DDR5 kit for workstation and heavy multitasking.","KINF64GB001","KF560C36BBEK2-64","890123450053",229.99,269.99,249.99,20,"[{""key"":""Capacity"",""value"":""64GB (2x32GB)""},{""key"":""Speed"",""value"":""6000MHz""},{""key"":""Type"",""value"":""DDR5""}]"
Samsung,SSD,"[""Electronics"",""Components"",""Storage"",""SSD""]","Samsung 980 Pro 1TB NVMe SSD","Fast PCIe 4.0 SSD for gaming and OS performance.","SAM980P1001","MZ-V8P1T0B","890123450054",109.99,129.99,119.99,22,"[{""key"":""Capacity"",""value"":""1TB""},{""key"":""Interface"",""value"":""PCIe 4.0""},{""key"":""Read Speed"",""value"":""7000 MB/s""},{""key"":""Write Speed"",""value"":""5100 MB/s""}]"
Western Digital,SSD,"[""Electronics"",""Components"",""Storage"",""SSD""]","WD Black SN850X 2TB NVMe SSD","High-end SSD designed for gaming and high-performance workloads.","WDSN850X2001","WDS200T2X0E","890123450055",179.99,209.99,199.99,18,"[{""key"":""Capacity"",""value"":""2TB""},{""key"":""Interface"",""value"":""PCIe 4.0""},{""key"":""Read Speed"",""value"":""7300 MB/s""}]"
Sony,Console,"[""Electronics"",""Gaming"",""Consoles"",""Home Console""]","Sony PlayStation 5 Slim","Compact redesigned PS5 with improved cooling and energy efficiency.","SONYPS5SLIM01","CFI-2015","890123450056",449.99,499.99,479.99,28,"[{""key"":""CPU"",""value"":""AMD Zen 2 Custom""},{""key"":""GPU"",""value"":""RDNA 2 Custom""},{""key"":""Storage"",""value"":""1TB SSD""}]"
Microsoft,Console,"[""Electronics"",""Gaming"",""Consoles"",""Home Console""]","Xbox Series X","Powerful gaming console optimized for 4K gaming and Game Pass ecosystem.","MSXBSX001","RRT-00010","890123450057",499.99,549.99,529.99,29,"[{""key"":""CPU"",""value"":""AMD Zen 2""},{""key"":""GPU"",""value"":""RDNA 2 12 TFLOPS""},{""key"":""Storage"",""value"":""1TB NVMe SSD""}]"
ASUS,Motherboard,"[""Electronics"",""Components"",""Motherboards"",""Gaming Motherboard""]","ASUS ROG Maximus Z790 Hero","Premium Intel motherboard designed for enthusiast gaming PCs with advanced power delivery and connectivity.","ASUMZ790H001","ROG-MAX-Z790-HERO","890123450058",699.99,749.99,719.99,16,"[{""key"":""Socket"",""value"":""LGA1700""},{""key"":""Chipset"",""value"":""Intel Z790""},{""key"":""Memory"",""value"":""DDR5 up to 7800MHz""},{""key"":""Expansion"",""value"":""PCIe 5.0 x16""},{""key"":""Networking"",""value"":""WiFi 7 + 2.5Gb Ethernet""}]"
MSI,Motherboard,"[""Electronics"",""Components"",""Motherboards"",""Gaming Motherboard""]","MSI MPG X870E Carbon WiFi","High-end AMD AM5 motherboard with PCIe 5.0 support and premium connectivity.","MSIX870EC001","MPG-X870E-CARBON-WIFI","890123450059",499.99,559.99,529.99,14,"[{""key"":""Socket"",""value"":""AM5""},{""key"":""Chipset"",""value"":""AMD X870E""},{""key"":""Memory"",""value"":""DDR5 8200MHz OC""},{""key"":""Expansion"",""value"":""PCIe 5.0""},{""key"":""Networking"",""value"":""WiFi 7""}]"
Gigabyte,Motherboard,"[""Electronics"",""Components"",""Motherboards"",""Gaming Motherboard""]","Gigabyte AORUS Elite AX B650","Gaming motherboard optimized for Ryzen processors with strong VRM cooling.","GIGAOR65001","B650-AORUS-ELITE-AX","890123450060",229.99,279.99,259.99,18,"[{""key"":""Socket"",""value"":""AM5""},{""key"":""Chipset"",""value"":""AMD B650""},{""key"":""Memory"",""value"":""DDR5""},{""key"":""Networking"",""value"":""WiFi 6E""}]"
ASUS,Power Supply,"[""Electronics"",""Components"",""Power Supplies"",""PC PSU""]","ASUS ROG Thor 1200W Platinum II","Premium modular power supply designed for high-end gaming systems.","ASUTHOR12001","ROG-THOR-1200P2","890123450061",399.99,449.99,429.99,12,"[{""key"":""Power"",""value"":""1200W""},{""key"":""Efficiency"",""value"":""80 Plus Platinum""},{""key"":""Modular"",""value"":""Fully Modular""},{""key"":""Connector"",""value"":""PCIe 5.0 12VHPWR""}]"
Corsair,Power Supply,"[""Electronics"",""Components"",""Power Supplies"",""PC PSU""]","Corsair RM1000x Shift","High-efficiency modular PSU for gaming and workstation builds.","CORRM1000X01","CP-9020253","890123450062",199.99,239.99,219.99,21,"[{""key"":""Power"",""value"":""1000W""},{""key"":""Efficiency"",""value"":""80 Plus Gold""},{""key"":""Modular"",""value"":""Fully Modular""},{""key"":""Fan"",""value"":""135mm Magnetic Levitation""}]"
Noctua,CPU Cooler,"[""Electronics"",""Components"",""Cooling"",""CPU Cooler""]","Noctua NH-D15 G2","Premium dual-tower air cooler designed for high-performance CPUs.","NOCTNHG2001","NH-D15-G2","890123450063",149.99,169.99,159.99,20,"[{""key"":""Type"",""value"":""Dual Tower Air Cooler""},{""key"":""Fan Size"",""value"":""140mm""},{""key"":""Compatibility"",""value"":""Intel LGA1700 / AMD AM5""},{""key"":""Noise Level"",""value"":""24.8 dB""}]"
NZXT,PC Case,"[""Electronics"",""Components"",""Computer Cases"",""ATX Case""]","NZXT H9 Flow","Premium airflow-focused ATX case with tempered glass panels.","NZXT H9F001","CM-H91FB","890123450064",199.99,229.99,219.99,15,"[{""key"":""Form Factor"",""value"":""ATX Mid Tower""},{""key"":""Material"",""value"":""Steel + Tempered Glass""},{""key"":""Fans Included"",""value"":""4x 120mm""},{""key"":""GPU Support"",""value"":""Up to 435mm""}]"
Logitech,Keyboard,"[""Electronics"",""Accessories"",""Peripherals"",""Gaming Keyboard""]","Logitech G915 TKL Wireless Gaming Keyboard","Low-profile mechanical gaming keyboard with wireless connectivity.","LOGG915TK01","920-009495","890123450065",229.99,259.99,244.99,19,"[{""key"":""Switches"",""value"":""GL Mechanical""},{""key"":""Connectivity"",""value"":""Lightspeed Wireless + Bluetooth""},{""key"":""Battery"",""value"":""40 hours""},{""key"":""Lighting"",""value"":""RGB Lightsync""}]"
Razer,Mouse,"[""Electronics"",""Accessories"",""Peripherals"",""Gaming Mouse""]","Razer DeathAdder V3 Pro","Professional esports wireless mouse with ultra-light design.","RAZDA3PRO01","RZ01-04630100","890123450066",149.99,179.99,164.99,22,"[{""key"":""Sensor"",""value"":""Focus Pro 30K Optical Sensor""},{""key"":""Weight"",""value"":""63g""},{""key"":""Battery"",""value"":""90 Hours""},{""key"":""Connectivity"",""value"":""HyperSpeed Wireless""}]"
Apple,Tablet,"[""Electronics"",""Computers"",""Tablets"",""Premium Tablet""]","Apple iPad Pro M4 13-inch","Professional tablet with OLED display and Apple Silicon performance.","APPIPADM4001","MVX23","890123450067",1299.99,1399.99,1349.99,27,"[{""key"":""Display"",""value"":""13-inch Tandem OLED""},{""key"":""Processor"",""value"":""Apple M4 Chip""},{""key"":""Storage"",""value"":""256GB""},{""key"":""Camera"",""value"":""12MP Wide Camera""}]"
Google,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Google Pixel 9 Pro XL","Premium Android smartphone with advanced AI features, Tensor processing, and professional camera capabilities.","GOOPIX9XL001","GQ57S","890123450068",1099.99,1199.99,1149.99,18,"[{""key"":""Display"",""value"":""6.8-inch LTPO OLED 120Hz""},{""key"":""Processor"",""value"":""Google Tensor G4""},{""key"":""Storage"",""value"":""256GB""},{""key"":""Camera"",""value"":""50MP Triple Camera System""},{""key"":""RAM"",""value"":""16GB""}]"
OnePlus,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","OnePlus 13 Pro 5G","High-performance Android flagship with fast charging and Snapdragon processor.","ONEP13PRO01","CPH2653","890123450069",899.99,999.99,949.99,16,"[{""key"":""Display"",""value"":""6.82-inch AMOLED 120Hz""},{""key"":""Processor"",""value"":""Snapdragon 8 Elite""},{""key"":""Storage"",""value"":""512GB UFS 4.0""},{""key"":""RAM"",""value"":""16GB LPDDR5X""},{""key"":""Battery"",""value"":""6000mAh""}]"
Xiaomi,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Xiaomi 15 Ultra","Camera-focused flagship smartphone with Leica optics and premium hardware.","XIA15ULTRA01","24116PN5CG","890123450070",999.99,1099.99,1049.99,14,"[{""key"":""Display"",""value"":""6.73-inch AMOLED 120Hz""},{""key"":""Processor"",""value"":""Snapdragon 8 Elite""},{""key"":""Camera"",""value"":""200MP Leica Camera System""},{""key"":""Storage"",""value"":""512GB""}]"
Acer,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","Acer Predator Helios Neo 16","Gaming laptop with high refresh display and powerful RTX graphics.","ACPHN16001","PHN16-72","890123450071",1399.99,1549.99,1499.99,15,"[{""key"":""CPU"",""value"":""Intel Core i7-14700HX""},{""key"":""GPU"",""value"":""NVIDIA RTX 4070 Laptop GPU""},{""key"":""RAM"",""value"":""32GB DDR5""},{""key"":""Storage"",""value"":""1TB PCIe SSD""},{""key"":""Display"",""value"":""16-inch WQXGA 240Hz""}]"
Acer,Ultrabook,"[""Electronics"",""Computers"",""Laptops"",""Ultrabook""]","Acer Swift Go 14 OLED","Portable productivity laptop with OLED display and AI-ready processor.","ACSWIFT14001","SFG14-72","890123450072",899.99,999.99,949.99,11,"[{""key"":""CPU"",""value"":""Intel Core Ultra 7 155H""},{""key"":""GPU"",""value"":""Intel Arc Graphics""},{""key"":""RAM"",""value"":""16GB LPDDR5X""},{""key"":""Storage"",""value"":""1TB SSD""},{""key"":""Display"",""value"":""14-inch OLED 2.8K""}]"
LG,Monitor,"[""Electronics"",""Displays"",""Monitors"",""Gaming Monitor""]","LG UltraGear OLED 32GS95UE","Premium OLED gaming monitor with dual mode refresh technology.","LG32GS95001","32GS95UE-B","890123450073",1299.99,1399.99,1349.99,13,"[{""key"":""Size"",""value"":""32-inch""},{""key"":""Panel"",""value"":""OLED""},{""key"":""Resolution"",""value"":""4K UHD""},{""key"":""Refresh Rate"",""value"":""240Hz""},{""key"":""Response Time"",""value"":""0.03ms""}]"
Samsung,Monitor,"[""Electronics"",""Displays"",""Monitors"",""Gaming Monitor""]","Samsung Odyssey OLED G8 32-inch","High-end OLED gaming monitor designed for competitive gaming and content creation.","SAMODG8001","G80SD","890123450074",1299.99,1449.99,1399.99,12,"[{""key"":""Panel"",""value"":""QD-OLED""},{""key"":""Resolution"",""value"":""4K UHD""},{""key"":""Refresh Rate"",""value"":""240Hz""},{""key"":""HDR"",""value"":""HDR True Black 400""}]"
TP-Link,Networking,"[""Electronics"",""Networking"",""Routers"",""WiFi Router""]","TP-Link Archer BE800 WiFi 7 Router","Next-generation wireless router with multi-gigabit networking support.","TPLBE80001","Archer BE800","890123450075",599.99,649.99,619.99,17,"[{""key"":""Wireless Standard"",""value"":""WiFi 7""},{""key"":""Speed"",""value"":""Up to 19Gbps""},{""key"":""Ports"",""value"":""10Gb Ethernet""},{""key"":""Bands"",""value"":""Tri-Band""}]"
